word,bound,flag,label,radical,pinyin
num,B,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,E,m,O,UNK,UNK
LB,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
第,B,m,O,竹,dì
一,E,m,O,一,yī
出,S,v,O,凵,chū
SPACE,S,x,O,UNK,UNK
家,B,n,O,宀,jiā
门,E,n,O,门,mén
LB,S,x,O,UNK,UNK
【,S,x,O,KUO,KUO
沁,B,ns,O,氵,qìn
园,M,ns,O,囗,yuán
春,E,ns,O,日,chūn
】,S,x,O,KUO,KUO
拆,B,v,O,扌,chāi
散,E,v,O,攵,sàn
鸾,S,nr,B-Nature,鸟,luán
凰,S,ng,I-Nature,几,huáng
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
独,B,d,O,犭,dú
步,E,d,O,止,bù
蟾,B,n,B-Nature,虫,chán
宫,E,n,O,宀,gōng
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
高,B,nr,O,高,gāo
攀,E,nr,O,手,pān
仙,S,ng,B-Nature,亻,xiān
桂,S,nr,I-Nature,木,guì
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,S,x,O,UNK,UNK
LB,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
第,B,m,O,竹,dì
二,E,m,O,二,èr
出,S,v,O,凵,chū
SPACE,S,x,O,UNK,UNK
会,S,v,O,人,huì
讲,S,v,O,讠,jiǎng
LB,S,x,O,UNK,UNK
【,S,x,O,KUO,KUO
满,B,nr,O,氵,mǎn
庭,M,nr,O,广,tíng
芳,E,nr,O,艹,fāng
】,S,x,O,KUO,KUO
［,S,x,O,UNK,UNK
生,B,n,O,生,shēng
上,E,n,O,一,shàng
］,S,x,O,UNK,UNK
若,S,c,O,艹,ruò
遇,S,v,O,辶,yù
桃,B,n,B-Nature,木,táo
花,E,n,I-Nature,艹,huā
浪,S,n,O,氵,làng
暖,S,a,O,日,nuǎn
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
定,S,v,O,宀,dìng
还,S,d,O,辶,huán
我,S,r,O,戈,wǒ
一,B,i,O,一,yī
跃,M,i,O,足,yuè
龙,M,i,B-Nature,龙,lóng
门,E,i,O,门,mén
。,S,x,O,UNK,UNK
